Iteration,Residual
1.800000000000000000e+02,5.774465659123202244e+01
1.810000000000000000e+02,5.965323853498812667e+01
1.820000000000000000e+02,6.406975480003774237e+01
1.830000000000000000e+02,6.873045858553450671e+01
1.840000000000000000e+02,6.412831327239926793e+01
1.850000000000000000e+02,6.659159120880879357e+01
1.860000000000000000e+02,6.639394800640150152e+01
1.870000000000000000e+02,6.819916907961230379e+01
1.880000000000000000e+02,6.654554552164553627e+01
1.890000000000000000e+02,6.723706224831374811e+01
1.900000000000000000e+02,6.259194796852447951e+01
1.910000000000000000e+02,6.237964562366152421e+01
1.920000000000000000e+02,6.140204659710231994e+01
1.930000000000000000e+02,6.173193245945452645e+01
1.940000000000000000e+02,6.068851289478242705e+01
1.950000000000000000e+02,6.172858643057974604e+01
1.960000000000000000e+02,5.781021799583645304e+01
1.970000000000000000e+02,5.688802595247516791e+01
1.980000000000000000e+02,5.523632712556495505e+01
1.990000000000000000e+02,5.752935254395870857e+01
2.000000000000000000e+02,5.666446256806543857e+01
2.010000000000000000e+02,5.730239293973615133e+01
2.020000000000000000e+02,5.994722286832457314e+01
2.030000000000000000e+02,6.016903730172689535e+01
2.040000000000000000e+02,5.765161995877274137e+01
2.050000000000000000e+02,5.904743719641463429e+01
2.060000000000000000e+02,5.636728092268838708e+01
2.070000000000000000e+02,5.341507105137241496e+01
2.080000000000000000e+02,5.409465098746289868e+01
2.090000000000000000e+02,5.333573812883741994e+01
2.100000000000000000e+02,5.157567218877399995e+01
2.110000000000000000e+02,5.277950539030069166e+01
2.120000000000000000e+02,5.154157243340415562e+01
2.130000000000000000e+02,5.074395827894191058e+01
2.140000000000000000e+02,5.142692644574410110e+01
2.150000000000000000e+02,5.011299671716415105e+01
2.160000000000000000e+02,4.953096359914639635e+01
2.170000000000000000e+02,4.906000062223390046e+01
2.180000000000000000e+02,4.990175785239952688e+01
2.190000000000000000e+02,5.081823775507115926e+01
2.200000000000000000e+02,5.359194096713518007e+01
2.210000000000000000e+02,5.648977186443136844e+01
2.220000000000000000e+02,5.650133496847373493e+01
2.230000000000000000e+02,5.526451397472062155e+01
2.240000000000000000e+02,5.517101934667825702e+01
2.250000000000000000e+02,5.585739772420767224e+01
2.260000000000000000e+02,5.618616831125792999e+01
2.270000000000000000e+02,5.733683507762595610e+01
2.280000000000000000e+02,5.829657831894365927e+01
2.290000000000000000e+02,6.167894991891802192e+01
2.300000000000000000e+02,6.102567507704752359e+01
2.310000000000000000e+02,6.058458141982197276e+01
2.320000000000000000e+02,5.868245946094901910e+01
2.330000000000000000e+02,5.840459415511109853e+01
2.340000000000000000e+02,5.800448686734275583e+01
2.350000000000000000e+02,5.772893293440554885e+01
2.360000000000000000e+02,5.680934847419637634e+01
2.370000000000000000e+02,5.590933646365050436e+01
2.380000000000000000e+02,5.599283600141580308e+01
2.390000000000000000e+02,5.467096379413693796e+01
2.400000000000000000e+02,5.368854083442909797e+01
2.410000000000000000e+02,5.526210353703590528e+01
2.420000000000000000e+02,5.419054342676663794e+01
2.430000000000000000e+02,5.373950582393306519e+01
2.440000000000000000e+02,5.332152541336770923e+01
2.450000000000000000e+02,5.176051229105576112e+01
2.460000000000000000e+02,5.012883843810596574e+01
2.470000000000000000e+02,4.968734889782114550e+01
2.480000000000000000e+02,4.941960785566723047e+01
2.490000000000000000e+02,4.946644152827100527e+01
2.500000000000000000e+02,4.823341764941190490e+01
2.510000000000000000e+02,4.657253085557143635e+01
2.520000000000000000e+02,4.404352804755809814e+01
2.530000000000000000e+02,4.232392871855159200e+01
2.540000000000000000e+02,4.203031204217807471e+01
2.550000000000000000e+02,4.002769649459649060e+01
2.560000000000000000e+02,3.935523210596842603e+01
2.570000000000000000e+02,3.855456346124731226e+01
